"","V1","V2","V3","V4","V5"
"1",11078.78,0.74,0.73,14,1589.64
"2",11322,0.73,0.73,22.8,1598.63
"3",11336.28,0.73,0.73,23.44,1599.27
"4",11539.37,0.73,0.72,30.45,1606.25
"5",11081.3,0.74,0.73,12.11,1587.76
"6",11326.7,0.73,0.73,21.01,1596.84
"7",11336.29,0.73,0.73,21.44,1597.27
"8",11539.67,0.73,0.72,28.47,1604.27
"9",11297.75,0.74,0.73,21.72,1597.55
"10",11565.29,0.73,0.72,31.61,1607.39
"11",11562.36,0.73,0.72,31.48,1607.26
"12",11787.51,0.72,0.72,39.47,1615.02
"13",11307.53,0.74,0.73,20.16,1595.98
"14",11579.93,0.73,0.72,30.26,1606.03
"15",11564.38,0.73,0.72,29.57,1605.35
"16",11792.38,0.72,0.72,37.69,1613.23
"17",11565.94,0.73,0.72,33.63,1609.42
"18",11770.58,0.72,0.72,40.72,1616.29
"19",11849.77,0.72,0.72,44.24,1619.68
"20",12014.86,0.72,0.71,49.57,1624.69
"21",11585.26,0.73,0.72,32.49,1608.26
"22",11783.65,0.72,0.72,39.3,1614.85
"23",11891.59,0.72,0.72,44.1,1619.47
"24",12046.51,0.72,0.71,48.98,1624.02
"25",11763.77,0.72,0.72,40.42,1616
"26",11990.55,0.72,0.71,48.49,1623.66
"27",12054.12,0.72,0.71,51.31,1626.34
"28",12239.02,0.71,0.71,57.53,1632.04
"29",11771.51,0.72,0.72,38.76,1614.33
"30",11994.01,0.72,0.71,46.64,1621.81
"31",12077.66,0.72,0.71,50.36,1625.32
"32",12254.01,0.71,0.71,56.19,1630.66
"33",12950.11,0.7,0.69,95.1,1666.62
"34",13230.34,0.69,0.68,105.55,1675.45
"35",13482.24,0.68,0.68,116.74,1684.99
"36",13702.84,0.68,0.67,124.53,1691.2
"37",12955.87,0.7,0.69,93.36,1664.84
"38",13233.65,0.69,0.68,103.7,1673.57
"39",13510.01,0.68,0.68,115.97,1684.03
"40",13723.97,0.68,0.67,123.47,1689.98
"41",13211.06,0.69,0.68,104.69,1674.71
"42",13520.3,0.68,0.68,116.43,1684.42
"43",13758.32,0.68,0.67,127,1693.25
"44",14004.58,0.67,0.67,135.93,1700.23
"45",13211.67,0.69,0.68,102.72,1672.73
"46",13520.3,0.68,0.68,114.43,1682.42
"47",13771.6,0.68,0.67,125.59,1691.74
"48",14012.7,0.67,0.67,134.29,1698.52
"49",13638.1,0.68,0.67,123.66,1690.81
"50",13870.94,0.68,0.67,132,1697.37
"51",14235.55,0.67,0.66,148.19,1710.5
"52",14409.14,0.66,0.66,153.9,1714.64
"53",13738.04,0.68,0.67,126.1,1692.5
"54",13955.67,0.67,0.67,133.76,1698.45
"55",14420.98,0.66,0.66,154.42,1715.05
"56",14572.32,0.66,0.65,159.15,1718.33
"57",13873.84,0.68,0.67,132.13,1697.48
"58",14132.79,0.67,0.66,141.63,1704.84
"59",14485.34,0.66,0.65,157.28,1717.3
"60",14681.5,0.66,0.65,163.99,1722.11
"61",13942.86,0.67,0.67,133.19,1697.99
"62",14187.08,0.67,0.66,142.04,1704.78
"63",14627.45,0.66,0.65,161.59,1720.24
"64",14801.09,0.65,0.65,167.3,1724.22
"65",11078.85,0.74,0.73,12,1587.65
"66",11322.04,0.73,0.73,20.8,1596.63
"67",11339.17,0.73,0.73,21.56,1597.4
"68",11541.92,0.73,0.72,28.57,1604.37
"69",11081.36,0.74,0.73,10.11,1585.76
"70",11326.74,0.73,0.73,19.01,1594.84
"71",11339.19,0.73,0.73,19.56,1595.4
"72",11542.2,0.73,0.72,26.58,1602.38
"73",11298.76,0.74,0.73,19.77,1595.59
"74",11566.26,0.73,0.72,29.65,1605.43
"75",11563.28,0.73,0.72,29.52,1605.3
"76",11788.18,0.72,0.72,37.5,1613.05
"77",11308.58,0.74,0.73,18.2,1594.03
"78",11580.95,0.73,0.72,28.3,1604.07
"79",11565.25,0.73,0.72,27.6,1603.39
