x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x1sq,x5sq,x6sq,x8sq,x11sq,x12sqrt,x13sq
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24,3.99424E-05,0.289444,43.230625,16.7281,234.09,19.9223492591,24.8004
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6,0.0007458361,0.219961,41.229241,24.67208241,316.84,19.9223492591,83.5396
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,0.0007447441,0.219961,51.624225,24.67208241,316.84,19.819939455,16.2409
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4,0.0010478169,0.209764,48.972004,36.75026884,349.69,19.8652963733,8.6436
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2,0.0047679025,0.209764,51.079609,36.75026884,349.69,19.9223492591,28.4089
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7,0.0008910225,0.209764,41.3449,36.75026884,349.69,19.8524557675,27.1441
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9,0.0077951241,0.274576,36.144144,30.91916025,231.04,19.8896958247,154.5049
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1,0.0208947025,0.274576,38.093584,35.40845025,231.04,19.9223492591,366.7225
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,16.5,0.0446223376,0.274576,31.708161,36.99194041,231.04,19.6629092456,895.8049
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9,0.0289136016,0.274576,36.048016,43.45578241,231.04,19.6649434273,292.41
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15,0.0505755121,0.274576,40.666129,40.28060089,231.04,19.8121175042,418.2025
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9,0.0137992009,0.274576,36.108081,38.77179289,231.04,19.9223492591,176.0929
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,21.7,0.0087946884,0.274576,34.680321,29.71231081,231.04,19.7610728454,246.8041
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,20.4,0.3965976576,0.289444,35.390601,22.16055625,441,19.9223492591,68.2276
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2,0.4069929616,0.289444,37.161216,19.90855161,441,19.494101672,105.2676
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,19.9,0.3936182121,0.289444,34.035556,20.23740196,441,19.8901985913,71.7409
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,23.1,1.1107684449,0.289444,35.224225,20.23740196,441,19.6685027392,43.2964
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,17.5,0.61496964,0.289444,35.8801,18.12971241,441,19.6659604393,215.2089
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,20.2,0.6443433441,0.289444,29.767936,14.41341225,441,16.9997058798,136.6561
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,18.2,0.52678564,0.289444,32.798529,14.41341225,441,19.7724555885,127.2384
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,13.6,1.5669782041,0.289444,31.0249,14.42404441,441,19.4054116164,441.8404
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,19.6,0.7259721616,0.289444,35.581225,16.09855129,441,19.8123698734,191.2689
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,15.2,1.5189823009,0.289444,37.724164,15.81573361,441,19.9223492591,350.4384
